[INFO 12:30:20 AM] miguelsolorio.symbols activated
[INFO 12:30:20 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:20 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:20 AM] symbols.files.associations changed, updating to undefined
[INFO 12:30:21 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:21 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:21 AM] symbols.files.associations changed, updating to undefined
[INFO 12:30:22 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:22 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:22 AM] symbols.files.associations changed, updating to undefined
[INFO 12:30:22 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:22 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:22 AM] symbols.files.associations changed, updating to undefined
[INFO 12:30:31 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 12:30:31 AM] symbols.folders.associations changed, updating to undefined
[INFO 12:30:31 AM] symbols.files.associations changed, updating to undefined
