[INFO 4:51:52 PM] miguelsolorio.symbols activated
[INFO 4:51:52 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:51:52 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:51:52 PM] symbols.files.associations changed, updating to undefined
[INFO 4:51:53 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:51:53 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:51:53 PM] symbols.files.associations changed, updating to undefined
[INFO 4:52:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:52:23 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:52:23 PM] symbols.files.associations changed, updating to undefined
[INFO 4:52:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:52:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:52:34 PM] symbols.files.associations changed, updating to undefined
[INFO 4:52:47 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:52:47 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:52:47 PM] symbols.files.associations changed, updating to undefined
[INFO 4:52:53 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:52:53 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:52:53 PM] symbols.files.associations changed, updating to undefined
[INFO 4:52:54 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:52:54 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:52:54 PM] symbols.files.associations changed, updating to undefined
[INFO 4:53:12 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:53:12 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:53:12 PM] symbols.files.associations changed, updating to undefined
[INFO 4:53:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:53:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:53:26 PM] symbols.files.associations changed, updating to undefined
[INFO 4:53:28 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:53:28 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:53:28 PM] symbols.files.associations changed, updating to undefined
[INFO 4:53:34 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:53:34 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:53:34 PM] symbols.files.associations changed, updating to undefined
[INFO 4:53:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:53:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:53:37 PM] symbols.files.associations changed, updating to undefined
[INFO 4:53:37 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:53:37 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:53:37 PM] symbols.files.associations changed, updating to undefined
[INFO 4:54:06 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:54:06 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:54:06 PM] symbols.files.associations changed, updating to undefined
[INFO 4:54:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:54:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:54:14 PM] symbols.files.associations changed, updating to undefined
[INFO 4:54:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:54:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:54:18 PM] symbols.files.associations changed, updating to undefined
[INFO 4:55:24 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:55:24 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:55:24 PM] symbols.files.associations changed, updating to undefined
[INFO 4:55:26 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:55:26 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:55:27 PM] symbols.files.associations changed, updating to undefined
[INFO 4:55:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:55:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:55:38 PM] symbols.files.associations changed, updating to undefined
[INFO 4:55:41 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:55:41 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:55:41 PM] symbols.files.associations changed, updating to undefined
[INFO 4:55:50 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:55:50 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:55:50 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:01 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:08 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:10 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:10 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:10 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:13 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:16 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:16 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:16 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:23 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:23 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:23 PM] symbols.files.associations changed, updating to undefined
[INFO 4:56:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:56:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:56:36 PM] symbols.files.associations changed, updating to undefined
[INFO 4:57:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:57:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:57:01 PM] symbols.files.associations changed, updating to undefined
[INFO 4:57:53 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:57:53 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:57:53 PM] symbols.files.associations changed, updating to undefined
[INFO 4:58:15 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:58:15 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:58:15 PM] symbols.files.associations changed, updating to undefined
[INFO 4:58:36 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:58:36 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:58:36 PM] symbols.files.associations changed, updating to undefined
[INFO 4:58:43 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:58:43 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:58:43 PM] symbols.files.associations changed, updating to undefined
[INFO 4:59:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:59:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:59:25 PM] symbols.files.associations changed, updating to undefined
[INFO 4:59:40 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 4:59:40 PM] symbols.folders.associations changed, updating to undefined
[INFO 4:59:40 PM] symbols.files.associations changed, updating to undefined
[INFO 5:00:18 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:00:18 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:00:18 PM] symbols.files.associations changed, updating to undefined
[INFO 5:00:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:00:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:00:32 PM] symbols.files.associations changed, updating to undefined
[INFO 5:01:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:01:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:01:00 PM] symbols.files.associations changed, updating to undefined
[INFO 5:01:19 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:01:19 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:01:19 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:08 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:12 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:12 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:12 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:12 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:12 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:12 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:14 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:14 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:56 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:56 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:56 PM] symbols.files.associations changed, updating to undefined
[INFO 5:03:59 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:03:59 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:03:59 PM] symbols.files.associations changed, updating to undefined
[INFO 5:04:02 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:04:02 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:04:02 PM] symbols.files.associations changed, updating to undefined
[INFO 5:04:08 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:04:08 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:04:08 PM] symbols.files.associations changed, updating to undefined
[INFO 5:04:25 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:04:25 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:04:25 PM] symbols.files.associations changed, updating to undefined
[INFO 5:04:42 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:04:42 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:04:42 PM] symbols.files.associations changed, updating to undefined
[INFO 5:05:13 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:05:13 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:05:13 PM] symbols.files.associations changed, updating to undefined
[INFO 5:05:38 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:05:38 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:05:38 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:00 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:00 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:06:00 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:01 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:01 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:06:01 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:03 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:03 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:06:03 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:14 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:14 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:06:14 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:21 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:21 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:06:21 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:32 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:32 PM] symbols.folders.associations changed, updating to undefined
[INFO 5:06:32 PM] symbols.files.associations changed, updating to undefined
[INFO 5:06:51 PM] symbols.hidesExplorerArrows changed, updating to false
[INFO 5:06:51 PM] symbols.folders.associations changed, updating to undefined
